State,ProbWin
California,100%
Connecticut,100%
Delaware,100%
District of Columbia,100%
Hawaii,100%
Illinois,100%
Maryland,100%
Massachusetts,100%
New Jersey,100%
Rhode Island,100%
Vermont,100%
Maine,99%
New York,99%
Oregon,99%
Washington,99%
New Mexico,96%
Minnesota,94%
Michigan,92%
Wisconsin,88%
Colorado,83%
Virginia,82%
Nevada,81%
New Hampshire,81%
Iowa,80%
Pennsylvania,78%
Florida,69%
Ohio,68%
North Carolina,51%
Arizona,28%
Missouri,20%
Georgia,13%
Indiana,10%
Montana,7%
Utah,4%
Texas,3%
South Carolina,2%
Alaska,1%
Alabama,0%
Arkansas,0%
Idaho,0%
Kansas,0%
Kentucky,0%
Louisiana,0%
Mississippi,0%
Nebraska,0%
North Dakota,0%
Oklahoma,0%
South Dakota,0%
Tennessee,0%
West Virginia,0%
Wyoming,0%
